GROUP,ID,GENDER,AGE,INSTRUMENT_PLAYED,YEARS_MUSIC_TRAINING,MUSICAL_GENRE,COMPLEXITY,TEMPO,DRUMMER_EXPRESSIVENESS,DRUMMER_STYLE,MODALITY,perceived_expressiveness,emotional_valence,neutral,happiness,sadness,anger,fear,disgust,surprise
non-musician,1,female,24,none,0,heavy_metal,complex,slow,expressive,open,video,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,slow,expressive,close,audio,4,0,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,slow,expressive,close,audiovideo,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,slow,expressive,close,video,6,1,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,slow,neutral,open,audio,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,slow,neutral,open,audiovideo,5,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,slow,neutral,open,video,3,0,0,0,0,0,0,1,0
non-musician,1,female,24,none,0,heavy_metal,complex,slow,neutral,close,audio,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,slow,neutral,close,audiovideo,6,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,slow,neutral,close,video,4,0,0,0,1,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,expressive,open,audio,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,fast,expressive,open,audiovideo,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,expressive,open,video,7,1,0,0,0,1,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,expressive,close,audio,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,fast,expressive,close,audiovideo,6,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,expressive,close,video,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,neutral,open,audio,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,neutral,open,audiovideo,7,1,0,0,0,0,1,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,neutral,open,video,4,1,0,0,0,1,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,neutral,close,audio,7,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,complex,fast,neutral,close,audiovideo,7,1,0,0,0,0,0,0,1
non-musician,1,female,24,none,0,heavy_metal,complex,fast,neutral,close,video,6,1,0,1,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,expressive,open,audio,4,0,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,expressive,open,audiovideo,6,1,1,0,0,0,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,expressive,open,video,6,1,0,0,0,1,0,0,0
non-musician,1,female,24,none,0,heavy_metal,simple,slow,expressive,close,audio,7,1,0,1,0,0,0,0,0
